extension,count
tif,15492555
jp2,4584652
jpg,629587
pdf,189679
xml,184640
TIFF,83479
TIF,68066
dpx,29419
DOC,23887
tiff,7814
doc,7702
rtf,3121
mp4,2490
wav,2490
mkv,1980
gz,1979
mp3,1604
mov,767
JPG,758
eml,313
CR2,291
avi,159
txt,133
SAM,124
wbk,104
xls,46
dot,34
htm,26
ppt,18
zip,17
cpg,15
dbf,15
docx,15
prj,15
sbn,15
sbx,15
shp,15
shx,15
iso,14
PDF,10
ppp,10
VOB,9
cue,9
wmv,7
DSS,5
tar,4
csv,3
xlsx,3
XLS,2
ai,2
gif,2
kmz,2
mpp,2
DOCX,1
DOT,1
MOV,1
WMA,1
bin,1
bmp,1
indd,1
mbox,1
msg,1
ovr,1
tfw,1
tga,1
wma,1
