extension,count
dpx,320345373
tif,91320520
jpg,8659368
CR2,5348685
pdf,3000017
xml,976461
txt,503921
doc,497236
.tif,464030
(none),441456
xmp,418691
xinfo,377508
wav,330405
png,282146
(none),274624
qua,272558
.dpx,269514
SID,225414
xdispatch,207321
lvl,197881
sha1,191647
mxf,162885
mp4,159968
GIF,137782
plist,133959
mp3,132847
DBF,116330
NEF,113694
rtf,110663
gz,106711
docx,93969
SAM,93700
mov,90698
dd,77240
dng,73854
MSG,60426
xlsx,59316
opex,58180
onix,49821
odt,45674
bmp,38107
BAK,35559
html,33585
xls,30412
XIP,30387
eml,28668
wmv,26408
db,26000
epub,25754
dll,25374
log,25186
wpd,24265
jpeg,23525
STY,22767
WK3,21673
WR1,21588
WK4,21171
FM3,20671
DS_Store,20523
e00,19721
md5,18265
htm,17893
exe,17432
ini,16559
tmp,16464
SMM,16018
dat,15013
noindex,13647
IRS,12871
SMI,12551
M,11948
CJ,11188
HLP,11155
emz,10826
wmz,10179
LET,10097
SAV,9935
ZIP,9595
CDX,8826
ASP,8609
.pdf,8101
ALL,7727
frf,7651
MTS,7376
CPI,6829
INC,6750
ods,6653
QPR,6348
RUN,6276
properties,6127
MAC,6031
LST,5837
js,5482
THM,5424
FXP,5165
FRX,5131
FRT,5102
RAF,5043
Z,4691
SCR,4348
m4v,4042
csv,4013
DIR,3867
2,3801
BAT,3714
MEM,3577
COM,3552
QST,3378
RUL,3312
BK!,3299
php,3298
sp,3258
lrprev,3160
GRP,3148
LTR,3049
MDM,3010
CUR,2990
DL_,2960
QSD,2959
QEL,2943
QDI,2922
PUB,2907
QDT,2904
WK1,2895
css,2894
QMT,2892
QNX,2892
srt,2836
bkg,2809
TTF,2770
1,2715
fcpevent,2675
BIM,2674
PPN,2674
CFG,2626
DRV,2491
int,2473
dfxp,2447
ASC,2351
PLT,2339
avi,2320
DIB,2318
vcf,2304
flv,2283
OVL,2281
INF,2202
REL,2172
sas,2145
PIF,2134
FAX,2095
PBM,2088
shadowInde,2082
SKO,2071
INV,2053
FR,2047
1,2041
ppt,2023
DBT,2007
BIN,1962
BMT,1932
REP,1906
sdw,1903
TKS,1873
RIN,1837
FOT,1813
WT4,1800
CON,1779
QMD,1777
mcdb,1762
QDB,1758
pptx,1756
CHK,1737
FLT,1686
sdb,1664
scj,1661
MMO,1650
gst,1635
ps1,1618
TBL,1585
PGU,1572
BridgeSort,1537
IDX,1532
mpgindex,1528
pps,1522
info,1521
FDS,1519
json,1510
wps,1480
MO,1479
FIN,1470
MPO,1446
MSS,1437
SYS,1434
casc,1412
AST,1411
FPT,1402
CIM,1378
dav,1377
3,1365
RI,1360
fon,1348
NTX,1347
CLS,1342
module,1338
layout,1291
mht,1257
old,1233
NSF,1211
FMB,1206
QDF,1189
HCX,1181
QPH,1181
NLM,1164
tiff,1162
jud,1160
FMT,1153
LTD,1149
wma,1146
mpeg,1129
N28,1124
DOT,1115
WRI,1110
LT1,1095
DEG,1079
LJB,1076
lt,1071
2,1067
CHN,1057
MAS,1053
gem,1043
DTF,1035
ENG,1004
NOT,999
dic,986
O10,984
D12,977
A23,977
PRG,970
CNF,961
G14,960
R67,948
sha512,944
4,937
FCH,926
S96,919
SIN,918
SYM,917
D04,914
386,914
T48,912
sc2,908
indexPosit,907
C19,903
test,900
K22,900
C07,900
H28,900
SVE,899
REC,898
SDF,898
SKF,896
1S2,894
coo,894
QPX,894
PAR,894
M12,892
tr,889
N09,888
M96,888
W22,888
T37,888
L18,884
P58,876
M95,876
C15,873
T91,870
E12,867
S25,867
A06,866
CE,865
G09,864
1S1,860
I03,852
U10,852
0S3,852
P64,852
R10,852
C98,852
F46,852
PLN,851
PRN,849
B84,846
F60,840
K21,840
C46,840
FIL,836
A45,834
mrk,833
01C,831
E20,828
L45,828
K31,828
D28,828
P38,828
K07,828
T71,828
ICO,826
C75,824
L19,818
T90,816
P94,816
E16,816
L25,810
S03,806
url,806
WMF,805
40C,804
M43,804
C30,804
S61,804
M99,804
G38,804
N40,804
lock,800
L26,797
16C,792
STR,789
pek,788
A99,780
V13,780
R44,780
S,780
18C,780
A80,780
PRE,773
ORG,762
D45,756
install,756
L02,756
RC,752
lnk,749
3,749
tif$$$Scan,746
D94,744
34S,732
LM,726
fcpproject,725
crd,723
E,722
psd,721
nts,716
5,713
shadow,704
L94,701
N,696
MDB,690
svg,687
I94,684
FC1,683
.jpg,678
tar,676
IOM,672
J,671
44C,666
AD,664
PCL,662
AP,659
ignored,655
NTF,650
bn,649
P10,648
A,645
XYZ,642
d,635
E15,624
RAM,618
rp,616
Q,607
COD,605
lmo,602
prc,601
SPA,589
fml,586
ai,585
APR,580
TDR,578
cf,577
ORD,576
I93,576
sp2,573
QUE,571
gly,567
PAL,566
V06,564
EX_,555
r,553
A34,552
LAN,548
RES,547
B,545
sheet,543
NDX,543
pfm,540
IN_,540
dwg,524
mso,522
fre,518
MIN,517
ADV,517
PCD,516
F40,516
PR,515
CMP,505
LDO,498
sh,498
6,497
indexIds,494
LSN,492
iti,491
B66,486
BDM,482
MAP,480
xps,480
class,478
indexHead,477
indexArray,477
indexPosti,477
indexDirec,477
indexCompa,477
indexGroup,477
directoryS,475
avl,474
7,472
DSK,462
rcl,461
RIF,456
FNT,449
indexUpdat,449
DEC,448
DA,448
updates,434
F05,432
in2,432
indexTermI,430
CAL,429
t,428
bk_,428
FRM,426
bk,426
ENT,426
created,425
xlsm,423
QID,419
ADD,419
mni,418
CJC,417
HL_,416
MAG,416
0,410
pfb,409
PRF,403
CAT,402
JPC,402
APP,398
reg,398
JPE,398
KLV,395
SET,393
ITN,393
MRG,391
SML,389
fw2,386
unl,386
INK,384
PXL,384
STZ,384
ABR,376
RBF,374
MPL,374
95,372
LUM,372
EIR,372
8,371
CNT,370
C,370
LIE,367
BK1,363
MAR,359
ldb,358
SM1,357
10,355
PRO,353
94,353
REV,352
ACT,351
H15,348
OS2,346
edi,346
MM,346
G92,342
4,340
CLN,338
cfa,337
TIP,336
FP,336
ACK,335
wp6,332
L,331
amr,330
dbx,329
DOS,329
P,327
qa,326
SKI,325
33,324
WP,324
S89,324
C78,324
08M,324
tno,322
CAN,321
32,321
L93,321
9,321
31,319
leg,317
COL,315
ch,315
WPF,314
T05,312
fma,312
mpg,309
val,307
fnl,304
01S,300
xx,299
34,298
92,298
46,297
pm,296
41,295
P00,295
39,294
ERR,293
358,293
mmm,293
45,292
NO,292
49,291
47,291
44,291
61,289
ON,289
KML,288
WIN,287
rpt,286
LAM,286
ADX,285
DIA,285
CAB,284
81,284
NOV,282
mld,280
351,278
drf,278
arm,278
93,277
eps,277
G65,276
18,276
may,275
PM_lock,275
5,275
KEY,274
13,273
11,273
TPS,273
rm,273
WDR,272
POL,271
y,271
JAN,271
di,270
jpf,269
crt,269
chp,267
BRF,266
DTA,266
jun,265
30,265
hdo,265
SKS,263
HDR,258
ART,257
SEP,254
CO_,254
96,254
LIN,254
G,254
PLB,251
STA,250
mrc,249
20,247
MNU,246
DES,245
docm,245
CPL,245
or,245
NP,244
qp,240
tax,240
.mp4,240
SPC,238
.xml,238
.mxf,238
ME,237
uc,237
REF,236
sib,235
djvu,235
OCT,234
pjm,234
8,233
F,233
loc,232
lc,231
aif,229
STD,229
SCX,228
SCT,228
EXP,227
L00,227
6,226
X,226
DDD,224
SKP,223
def,223
ICS,222
FX,221
PRI,221
12,219
state,217
DV,217
89,216
Lion,215
H,212
SnowLeopar,211
PIC,210
VBX,210
ras,210
JP,210
ix,210
cel,209
nol,208
7,207
successful,207
replace,206
d_64,206
inglis,206
replace2,206
INS,205
key2,205
PWL,204
fdr,204
sc3,202
NLS,200
scss,200
SPE,199
DB_,198
LIS,198
sp3,196
FEB,195
WPG,195
24,194
TAG,194
NEW,193
QRS,193
VIR,192
XLA,192
J25,192
11,192
EDR,192
BCF,191
12,190
mmt,190
K,189
attr,189
17,188
VR2,188
14,186
sld,185
tx,185
checksums,183
RSL,182
19,181
10,181
BMX,180
BRT,180
ER,180
MS_,180
SGA,180
MED,180
lab,179
9,178
m4a,178
CAP,178
tlb,177
WA,176
var,175
ls,175
pst,175
ocl,173
po,173
DMT,173
90,172
JUL,172
tor,170
MID,170
lhd,170
OUT,170
f23,169
22,169
16,169
ENV,168
25,168
scssc,168
CMD,167
prproj,167
AUG,167
105,166
W31,166
TOK,165
MOD,165
in1,165
21,165
scc,165
FC2,164
cd,164
TV1,163
in3,162
AUD,160
15,160
1,159
RCM,159
cif,158
J24,158
cor,158
HIS,158
BV1,157
TDI,156
TV,156
13,156
