,extension,count
0,0,18
1,0-1,1
2,000,39
3,001,62
4,002,9
5,003,4
6,004,4
7,005,3
8,006,2
9,007,1
10,008,1
11,009,1
12,00a,1
13,00b,1
14,00c,1
15,00d,1
16,05,2
17,09,1
18,0},1
19,1,54
20,10,2
21,11,9
22,12,1
23,13,1
24,1379,1
25,15,1
26,16,1
27,19,1
28,1992-1997,1
29,1994-2004,1
30,1995-2002,1
31,1996-2002,1
32,1999,1
33,2,16
34,2000,1
35,2001,1
36,2002,2
37,21,1
38,26l,13
39,2950661063,1
40,2dg,47
41,2dx,6
42,2in,1
43,3,2539
44,301,1
45,3025052721,1
46,3037,1
47,3293,1
48,3340,1
49,4,3
50,421,1
51,4796,1
52,4926,1
53,5,18
54,53,1
55,54,1
56,56,1
57,586,1
58,59,1
59,5_1000,9
60,5_1200,7
61,5_1400,3
62,5_1500,3
63,5_160,10
64,5_320,10
65,5_480,10
66,5_540,9
67,5_600,11
68,5_640,11
69,5_700,11
70,5_80,10
71,5_800,9
72,5_900,9
73,5modalign,1
74,686,1
75,8,1
76,9,2
77,_to,1
78,_zip,2
79,a,40
80,ac,7
81,accdb,7
82,act2000,1
83,adb,7
84,ads,3
85,aff,1
86,afm,102
87,afta,1
88,agelength,1
89,agh,1
90,agr,69
91,agr$,1
92,agr~,1
93,ai,260
94,aic79xx,1
95,aic7xxx,1
96,aif,1302
97,akw,1
98,al,157
99,all,1
100,alt,3
101,am,99
102,amb,1
103,amiga,6
104,ann,1
105,announce,1
106,arc,14
107,arcmsr,1
108,ares,3
109,arff,1
110,arr,8
111,asa,1
112,asf,1
113,asm,6
114,asp,1
115,asv,1
116,attr,1
117,atx,20
118,audio,7
119,aux,51
120,avi,235
121,avmb1,1
122,awk,89
123,ax,1
124,b,3
125,b32,6
126,bac,1
127,bak,34
128,bal,2
129,bas,1
130,bash,40
131,bash~,2
132,bat,81
133,bbl,11
134,bc,50
135,bed,51
136,belfast,2
137,bib,24
138,bib~,1
139,bim,22
140,bin,1
141,binfmt,1
142,blg,10
143,bmp,58380
144,bob,1
145,boot,35
146,bor,2
