extension,count
"",300
.PRN,288
.EXE,175
.TXT,172
.ZIP,169
.WKS,157
.BAT,99
.DL_,90
.LST,85
.UNV,74
.WK1,64
.DOC,60
.FED,57
.DTA,42
.WK3,40
.DAT,38
.COM,32
.ARC,32
.GX1,30
.FAC,26
.PAS,24
.BIN,22
.DLL,16
.CAB,16
.EX_,15
.INF,13
.ME,12
.MD_,12
.DBA,12
.NDX,9
.HLP,8
.INP,8
.CNF,8
.INI,7
.OUT,7
.HL_,7
.BA_,7
.TBK,6
.TX_,6
.HDR,6
.IC_,6
.001,6
.DBF,6
.TPU,6
.CFG,5
.NEW,4
.DCT,4
.DOS,4
.STF,4
.OLB,4
.IN_,4
.002,4
.EE,4
.ICO,4
.MER,4
.2,4
.PI_,4
.XLS,3
.38_,3
.ASC,3
.TAG,3
.FON,3
.M2_,3
.TL_,3
.NFO,3
.RE_,3
.D2,2
.D1,2
.000,2
.A05,2
.A04,2
.A03,2
.D3,2
.A02,2
.A01,2
.SPS,2
.DBD,2
.HST,2
.ID,2
.INC,2
.A14,2
.A13,2
.A06,2
.A07,2
.A08,2
.A09,2
.A10,2
.A12,2
.1ST,2
.A11,2
.TAB,2
.LID,2
.INS,2
.BMP,2
.CMD,2
.PCX,2
.EZG,2
.NEM,2
.OVR,2
.DEF,2
.PDF,2
.PIF,2
.FOR,1
.11,1
.8,1
.LZH,1
.005,1
.006,1
.007,1
.008,1
.009,1
.010,1
.OVL,1
.D4,1
.91,1
.10,1
.003,1
.D6,1
.DFT,1
.5,1
.MS_,1
.826,1
.A15,1
.BM_,1
.AUG,1
.D5,1
.15,1
.14,1
.CON,1
.DBT,1
.7,1
.6,1
.3,1
.9,1
.LIB,1
.GUI,1
.12,1
.13,1
.BK,1
.ABS,1
.XX_,1
.PA,1
.4,1
.FO_,1
.1,1
.DPP,1
.FN4,1
.GPH,1
