,,,MIME,,Format,,Version,,extension,,count,,,Size,,,
1,1,1,application/dicom,,DICOM medical imaging data,,,,.dcm,,86,0.00%,,"7,649,083,598",7.6,GB,0.00%
2,2,1,application/epub+zip,,EPUB,,,,.epub,,86,0.00%,,"99,017,112",99,MB,0.00%
3,3,1,application/java-archive,,Java Archive Format,,,,.jar,,2,0.00%,,"306,230",306.2,KB,0.00%
4,4,1,application/java-vm,,Java Class File,,,,.class,,2,0.00%,,"3,434",3.4,KB,0.00%
5,5,1,application/javascript,,JavaScript file,,,,.js,,25,0.00%,,"646,980",647,KB,0.00%
6,6,1,application/mbox,,MBOX,,,,.mbox,,2,0.00%,,"2,046,692",2,MB,0.00%
7,7,1,"application/mp4, video/mp4",,MPEG-4 Media File,,,,.mp4,,1,0.00%,,"3,204,266",3.2,MB,0.00%
8,8,1,application/msword,,Microsoft Word Binary File Format,,2,,.doc,,16,0.00%,,"297,668",297.7,KB,0.00%
9,8,2,application/msword,,Microsoft Word Binary File Format,,2000102700,,.doc,,1,0.00%,,"86,016",86,KB,0.00%
10,8,3,application/msword,,Microsoft Word Binary File Format,,3,,.doc,,1,0.00%,,"30,778",30.8,KB,0.00%
11,8,4,application/msword,,Microsoft Word Binary File Format,,3,,,,66,0.00%,,"299,520",299.5,KB,0.00%
12,8,5,application/msword,,Microsoft Word Binary File Format,,4,,.doc,,16,0.00%,,"210,387",210.4,KB,0.00%
13,8,6,application/msword,,Microsoft Word Binary File Format,,4,,,,3,0.00%,,"16,384",16.4,KB,0.00%
14,8,7,application/msword,,Microsoft Word Binary File Format,,5,,.doc,,98,0.00%,,"1,558,528",1.6,MB,0.00%
15,8,8,application/msword,,Microsoft Word Binary File Format,,5,,,,9,0.00%,,"54,272",54.3,KB,0.00%
16,8,9,application/msword,,Microsoft Word Binary File Format,,6.0/95,,.doc,,129,0.00%,,"3,981,824",4,MB,0.00%
17,8,10,application/msword,,Microsoft Word Binary File Format,,97-2003,,.doc,,"6,404",0.01%,,"1,082,933,248",1.1,GB,0.00%
18,8,11,application/msword,,Microsoft Word Binary File Format,,97-2003,,.dot,,8,0.00%,,"1,597,952",1.6,MB,0.00%
19,8,12,application/msword,,Microsoft Word Binary File Format,,97-2003,,.xls,,2,0.00%,,"100,864",100.9,KB,0.00%
20,8,13,application/msword,,Microsoft Word Binary File Format,,97-2003,,,,1,0.00%,,"19,456",19.5,KB,0.00%
21,8,14,application/msword,,Microsoft Word Binary File Format,,,,.doc,,"1,053",0.00%,,"350,712,320",350.7,MB,0.00%
22,8,15,application/msword,,Microsoft Word Binary File Format,,,,.rpt,,1,0.00%,,"978,944",978.9,KB,0.00%
23,8,16,application/msword,,Microsoft Word Binary File Format,,,,.xls,,172,0.00%,,"3,396,096",3.4,MB,0.00%
24,8,17,application/msword,,Microsoft Word Document,,97-2003,,.doc,,1,0.00%,,"117,248",117.2,KB,0.00%
25,8,18,application/msword,,Microsoft Word Document,,,,.doc,,1,0.00%,,"233,984",234,KB,0.00%
26,9,1,application/mxf,,Material Exchange Format (MXF),,Operational Pattern 1a,,.mov,,3,0.00%,,"234,982,549,316",235,GB,0.04%
27,9,2,application/mxf,,Material Exchange Format (MXF),,Operational Pattern 1a,,.mxf,,25,0.00%,,"535,918,300,036",535.9,GB,0.10%
28,9,3,application/mxf,,Material Exchange Format (MXF),,,,.mxf,,49,0.00%,,"1,555,656,454,364",1.6,TB,0.29%
29,10,1,application/octet-stream,,Blender 3D,,64 bit,,.blend,,1,0.00%,,"138,473,620",138.5,MB,0.00%
30,10,2,application/octet-stream,,Blender 3D,,64 bit,,.blend1,,1,0.00%,,"46,493,328",46.5,MB,0.00%
31,10,3,application/octet-stream,,FileMaker Pro Database,,1,,,,1,0.00%,,"31,744",31.7,KB,0.00%
32,10,4,application/octet-stream,,Maple help database,,,,.ttc,,1,0.00%,,434,434,B,0.00%
33,10,5,application/octet-stream,,Matlab v5 mat-file (little endian) version 0x0100,,,,.fda,,1,0.00%,,"3,229",3.2,KB,0.00%
34,10,6,application/octet-stream,,Microsoft Office Owner File,,,,,,4,0.00%,,648,648,B,0.00%
35,10,7,application/octet-stream,,OLE2 Compound Document Format,,,,.wps,,4,0.00%,,"31,744",31.7,KB,0.00%
36,10,8,application/octet-stream,,Origin Project Format,,Non-Unicode,,.opj,,1,0.00%,,"218,252",218.3,KB,0.00%
37,10,9,application/octet-stream,,STL (Standard Tessellation Language) Binary,,,,.stl,,2,0.00%,,"143,121,468",143.1,MB,0.00%
38,10,10,application/octet-stream,,TTComp archive data,,,,,,1,0.00%,,"442,172",442.2,KB,0.00%
39,10,11,application/octet-stream,,Unknown Binary,,,,.bg,,18,0.00%,,"381,340",381.3,KB,0.00%
40,10,12,application/octet-stream,,Unknown Binary,,,,.form,,1,0.00%,,"209,276,735",209.3,MB,0.00%
41,10,13,application/octet-stream,,Unknown Binary,,,,.prs,,1,0.00%,,"39,594,164",39.6,MB,0.00%
42,10,14,application/octet-stream,,Unknown Binary,,,,.rti,,12,0.00%,,"611,102,268",611.1,MB,0.00%
43,10,15,application/octet-stream,,Unknown Binary,,,,,,37,0.00%,,"1,645,102",1.6,MB,0.00%
44,11,1,application/onenote; format=onetoc2,,OneNote Table of Contents,,,,.onetoc2,,2,0.00%,,"8,736",8.7,KB,0.00%
45,12,1,application/pdf,,PDF/A,,1,,.pdf,,136,0.00%,,"2,123,040,872",2.1,GB,0.00%
46,12,2,application/pdf,,PDF/A,,1.4,,.pdf,,"6,548",0.01%,,"15,576,499,396",15.6,GB,0.00%
47,12,3,application/pdf,,PDF/A,,1.6,,.pdf,,9,0.00%,,"36,543,864",36.5,MB,0.00%
48,12,4,application/pdf,,PDF/A,,1a,,.pdf,,301,0.00%,,"20,081,543,579",20.1,GB,0.00%
49,12,5,application/pdf,,PDF/A,,1b,,.pdf,,"71,752",0.06%,,"555,401,764,243",555.4,GB,0.10%
50,12,6,application/pdf,,PDF/A,,2a,,.pdf,,24,0.00%,,"187,467,185",187.5,MB,0.00%
51,12,7,application/pdf,,PDF/A,,2b,,.pdf,,"23,803",0.02%,,"1,153,715,463,356",1.2,TB,0.21%
52,12,8,application/pdf,,PDF/A,,3a,,.pdf,,90,0.00%,,"70,375,363,496",70.4,GB,0.01%
53,12,9,application/pdf,,PDF/A,,3b,,.pdf,,13,0.00%,,"572,820,587",572.8,MB,0.00%
54,12,10,application/pdf,,PDF/A,,A-1a,,.pdf,,1,0.00%,,"26,494,854",26.5,MB,0.00%
55,12,11,application/pdf,,PDF/A,,A-1b,,.pdf,,1,0.00%,,"37,480,843",37.5,MB,0.00%
56,12,12,application/pdf,,PDF/A,,A-2b,,.pdf,,4,0.00%,,"1,210,534,947",1.2,GB,0.00%
57,12,13,application/pdf,,PDF/A,,,,.pdf,,205,0.00%,,"36,700,349,732",36.7,GB,0.01%
58,12,14,application/pdf,,PDF/X,,1a:2003,,.pdf,,4,0.00%,,"2,598,882",2.6,MB,0.00%
59,12,15,application/pdf,,PDF/X,,1.515972222,,.pdf,,10,0.00%,,"58,683,692",58.7,MB,0.00%
60,12,16,application/pdf,,PDF/X,,PDF/X-3:2002,,.pdf,,1,0.00%,,"1,367,980",1.4,MB,0.00%
61,12,17,application/pdf,,PDF/X,,PDF/X-4,,.pdf,,7,0.00%,,"15,194,780",15.2,MB,0.00%
62,12,18,application/pdf,,Portable Document Format,,1,,.pdf,,1,0.00%,,"14,926,046",14.9,MB,0.00%
63,12,19,application/pdf,,Portable Document Format,,1.1,,.pdf,,1,0.00%,,"45,228",45.2,KB,0.00%
64,12,20,application/pdf,,Portable Document Format,,1.2,,.pdf,,63,0.00%,,"39,787,124",39.8,MB,0.00%
65,12,21,application/pdf,,Portable Document Format,,1.3,,.pdf,,"4,111",0.00%,,"128,774,651,776",128.8,GB,0.02%
66,12,22,application/pdf,,Portable Document Format,,1.4,,.pdf,,"16,040",0.01%,,"270,459,472,078",270.5,GB,0.05%
67,12,23,application/pdf,,Portable Document Format,,1.5,,.pdf,,"5,666",0.00%,,"114,995,403,923",115,GB,0.02%
68,12,24,application/pdf,,Portable Document Format,,1.6,,.pdf,,"4,131",0.00%,,"187,652,439,143",187.7,GB,0.03%
69,12,25,application/pdf,,Portable Document Format,,1.7,,.pdf,,"3,175",0.00%,,"10,156,382,449",10.2,GB,0.00%
70,12,26,application/pdf,,Portable Document Format,,2,,.pdf,,2,0.00%,,"16,841,166",16.8,MB,0.00%
71,13,1,application/postscript,,Adobe Illustrator,,3.0 / 3.2,,,,1,0.00%,,"15,953",16,KB,0.00%
72,13,2,application/postscript,,Adobe Illustrator,,8,,.ai,,2,0.00%,,"388,984",389,KB,0.00%
73,13,3,application/postscript,,Adobe Illustrator,,,,.ai,,2,0.00%,,"3,680,958",3.7,MB,0.00%
74,13,4,application/postscript,,Encapsulated PostScript File Format,,3,,.eps,,3,0.00%,,"731,720",731.7,KB,0.00%
75,13,5,application/postscript,,PostScript,,3,,.ps,,1,0.00%,,"1,024,381",1,MB,0.00%
76,14,1,application/rtf,,Rich Text Format (RTF),,0,,.rtf,,1,0.00%,,"4,155",4.2,KB,0.00%
77,14,2,application/rtf,,Rich Text Format (RTF),,1.0-1.4,,.rtf,,28,0.00%,,"2,569,496",2.6,MB,0.00%
78,14,3,application/rtf,,Rich Text Format (RTF),,1.5-1.6,,.doc,,38,0.00%,,"12,003,177",12,MB,0.00%
79,14,4,application/rtf,,Rich Text Format (RTF),,1.5-1.6,,.rtf,,18,0.00%,,"6,424,135",6.4,MB,0.00%
80,14,5,application/rtf,,Rich Text Format (RTF),,1.7,,.rtf,,4,0.00%,,"520,906",520.9,KB,0.00%
81,14,6,application/rtf,,Rich Text Format (RTF),,1.9,,.doc,,2,0.00%,,"625,827",625.8,KB,0.00%
82,14,7,application/rtf,,Rich Text Format (RTF),,1.9,,.rtf,,343,0.00%,,"3,568,984,680",3.6,GB,0.00%
83,15,1,application/vnd.iccprofile,,ICC,,,,.icc,,9,0.00%,,"472,992",473,KB,0.00%
84,15,2,application/vnd.iccprofile,,ICC,,,,.icm,,33,0.00%,,"11,777,930",11.8,MB,0.00%
85,15,3,application/vnd.iccprofile,,ICC,,,,,,2,0.00%,,"888,656",888.7,KB,0.00%
