extension,count
gif,238731926
jp2,236721472
tif,180272185
xml,159774440
jpg,137978755
pdf,92300272
txt,53085016
(no extension),30809862
gz,27524325
png,23551181
i41,16336354
xhtml,7685688
i42,5112946
xhtml_crossref,3979562
onx,2591403
epub,2411749
fti,2214208
docx,1533639
mp3,1519848
i21,1443564
ati,1429369
pti,1428325
xlsx,1328127
cdx,1326729
jpeg,1271952
lti,1219776
zip,1124841
html,1105892
fit,1099896
htm,1076437
xml_crossref,1075070
dpx,1074481
vdt,881213
wav,849956
doc,767472
rtp,739503
aft,667317
lft,625843
pcx,606551
md5,603472
i22,580654
pft,565546
nti,519172
xls,517460
csv,510597
fasta,445964
eps,435038
jti,428878
tre,427593
svg,425807
json,417969
i4a,384876
mp4,360110
fa,320451
dat,307558
db,306794
dng,296541
pssm,287980
cr2,279427
faa,270287
props,268928
njt,258596
sgm,241935
data,200409
tiff,188407
tfw,187220
mpg,186671
i23,178930
dbf,172063
i2a,167895
obj,167581
sid,164744
rat,162137
rax,160329
lyr,159395
sdw,157740
sum,157451
avi,156846
shp,154325
shx,152901
prj,146394
ent,145753
bmp,145464
mov,144652
i24,139802
ovr,139058
tl1,138013
h,132491
nef,130402
log,128524
flv,125689
adf,125181
exe,114514
c,113413
class,112207
tl2,111461
dll,104246
mrk,104246
vob,103483
js,102433
aux,102146
copy0,98188
sbx,98123
sbn,98064
tti,95658
swf,91740
gdbtable,89858
gdbtablx,89785
jdb,89411
gdbindexes,87446
pptx,86044
iso,84683
m,84053
java,84030
cpp,80570
ljt,78029
cpg,72289
npy,72073
spx,72061
img,71400
px,69430
topology,65700
ajt,65058
i25,64430
lrprev,64029
vasp,59851
ds_store,59815
py,59450
rxn,59349
shtml,58259
fro,56957
ifo,56531
nit,56082
css,55856
bin,55706
bup,54456
nnx,53654
ods,52772
ini,52604
i12,51791
r,51505
dt0,51188
mol,49872
tft,48474
wma,48403
ppt,48273
tc1,45545
tab,45455
hdr,45435
pdb,44139
dt1,44027
atx,43848
frz,42572
bil,41502
rtf,40406
hpp,39841
i26,39688
boo,39116
wpd,38671
ico,37954
sm2,36353
snr,35861
lbl,34947
dl_,33612
tl3,33349
mat,33264
cab,33255
dtd,31821
i11,31290
cmp,30968
mxf,30800
pm,30405
cif,29861
map,29631
i2b,29342
min,28823
max,28525
frl,28098
tsv,28081
bak,25920
avg,25635
xsl,25260
hdf,25087
hnet,25072
dcm,25057
ris,24913
mobi,24425
tla,23982
pl,23854
cat,23751
blw,23579
dfm,23254
tt2,23182
fas,23141
sif,23068
icm,22773
inf,22303
toc,22110
ogg,21260
tbl,20922
cos,20608
avl,20530
frm,20428
i13,20129
vfo,20123
raw,19761
out,19338
trc,19210
ps,18637
rdata,18546
pic,18310
bat,18236
lck,18071
rpm,17927
e00,17766
dt2,17622
