File Format ,Version,PRONOM PUID,count,extension
3GPP Audio/Video File,,fmt/357,1,3gp|3gpp
Acrobat Catalog Cat File,       ,fmt/452,19,cat
Acrobat Language definition file,       ,x-fmt/427,1,Ing
Acrobat PDF 1.0 - Portable Document Format,1,fmt/14,260,pdf
Acrobat PDF 1.1 - Portable Document Format,1.1,fmt/15,1435,pdf
Acrobat PDF 1.2 - Portable Document Format,1.2,fmt/16,7592,pdf
Acrobat PDF 1.3 - Portable Document Format,1.3,fmt/17,70500,pdf
Acrobat PDF 1.4 - Portable Document Format,1.4,fmt/18,1417158,pdf
Acrobat PDF 1.5 - Portable Document Format,1.5,fmt/19,24651,pdf
Acrobat PDF 1.6 - Portable Document Format,1.6,fmt/20,24752,pdf
Acrobat PDF 1.7 - Portable Document Format,1.7,fmt/276,729,pdf
Acrobat PDF/A - Portable Document Format,1a,fmt/95,36934,pdf
Acrobat PDF/A - Portable Document Format,1b,fmt/354,333,pdf
Acrobat PDF/A - Portable Document Format,2b,fmt/477,3,pdf
Acrobat PDF/A - Portable Document Format,2u,fmt/478,2,pdf
Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,       ,fmt/157,4,pdf
Acrobat PDF/X - Portable Document Format - Exchange 3:2002,       ,fmt/158,1,pdf
Acrobat PDF/X - Portable Document Format - Exchange PDF/X-4,       ,fmt/488,3,pdf
Active Server Page,       ,x-fmt/138,859,asp
Adobe After Effects,       ,fmt/796,1,aep
Adobe Flash,8,fmt/505,3,swf
Adobe Flash,9,fmt/506,3,swf
Adobe Font List,       ,fmt/526,28,lst
Adobe Illustrator,6,fmt/422,120,ai|pdf
Adobe Illustrator,12,fmt/561,36,ai|pdf
Adobe Illustrator,8,fmt/557,32,ai|pdf
Adobe Illustrator,3.0 / 3.2,fmt/418,8,ai
Adobe Illustrator,10,fmt/559,5,ai|pdf
Adobe Illustrator,9,fmt/558,2,ai|pdf
Adobe Illustrator,7,fmt/423,1,ai|pdf
Adobe Illustrator,11,fmt/560,1,ai|pdf
Adobe Illustrator,1.0 / 1.1,x-fmt/20,1,ai
Adobe InDesign Document,CS2,fmt/548,5,ind|indd
Adobe InDesign Document,Generic,x-fmt/450,1,ind|indd
Adobe Multiple Master Metrics font file,       ,fmt/521,2,mmm
Adobe PDF Doc,,,18754,pdf
Adobe Photoshop,       ,x-fmt/92,364,psd
