extension,File Format,count,NARA Format ID
eml,Electronic Mail Format,776232520,NF00170
jpg|jpeg,JPEG unspecified version,427665813,NF00641
tif|tiff,Tagged Image File Format (TIFF) unspecified version,287598102,NF00762
txt|text|asc|rte,Plain Text,281117284,NF00360
htm|html,Hypertext Markup Language unspecified version,73250871,NF00208
xml,eXtensible Markup Language unspecified version,29904539,NF00654
pdf,Portable Document Format (PDF) unspecified version,14467095,NF00361
doc,Microsoft Word unspecified version,7565433,NF00659
cr2,Canon RAW 2.0,5548575,NF00469
docx,Microsoft OpenOffice OpenDocument unspecified version,5187367,
xls,Microsoft Excel unspecified version,2861993,NF00656
msg|oft,Microsoft Outlook Item,2831102,NF00280
gif,Graphics Interchange Format unspecified version,1961452,NF00652
(none),Unidentified,1261269,
tif,Tagged Image File Format,1203412,
txt,Plain Text File,1101474,
pdf,Acrobat PDF 1.3 - Portable Document Format (1.3),1094085,
txt,8-bit ASCII Text,1088272,
xlsx,Microsoft Excel Office Open XML,1044165,NF00272
wpd|wp,WordPerfect unspecified version,1014359,NF00767
url,Uniform Resource Locator Shortcut File,948218,NF00430
ini|conf|cnf|cfg|cf|config,Configuration File,924632,NF00146
eps,Encapsulated PostScript File Format unspecified version,813335,NF00653
olk14m,Unidentified,766997,
png,Portable Network Graphics unspecified version,685824,NF00647
pdf,Acrobat PDF 1.5 - Portable Document Format (1.5),625003,
jpg,Raw JPEG Stream,620314,
eml,8-bit ASCII Text,611519,
olk14m,Unidentified,607874,
gz|tgz,GZIP,582800,NF00204
pdf,Acrobat PDF 1.4 - Portable Document Format (1.4),552986,
mp3|x-mp3|mpeg3|mpeg|x-mpeg3|mpg|x-mpg|x-mpegaudio,MPEG-1 Audio Layer 3,551848,NF00335
csv,Comma Separated Values,526677,NF00143
jpg,JPEG File Interchange Format (1.02),510722,
frx,Microsoft Visual FoxPro Report,451131,
,8-bit ASCII Text,450766,
lnk,Windows Shortcut,436721,NF00451
dll|ocx|drv,Microsoft Dynamic Link Library,374146,NF00169
bmp,Windows Bitmap unspecified version,362095,NF00661
smi|sami,Synchronized Accessible Media Interchange,341262,NF00689
dpx,Digital Moving Picture Exchange Bitmap,326286,
html,Hypertext Markup Language,300485,
pdf,Acrobat PDF 1.6 - Portable Document Format (1.6),300269,
hdr,8-bit ASCII Text,281733,
ppt,Microsoft PowerPoint unspecified version,269362,NF00658
jpeg,JPEG File Interchange Format (1.02),236162,
pptx,Microsoft PowerPoint Presentation OpenXML (Windows 2007-onwards),232734,NF00289
mac|pntg|pic,MacPaint Image,226890,NF00241
db,db file: Paradox; Oracle; dBASE IV; dbvista; dBFast; XTreeGold; XoftSpySE,222041,NF00152
zip,ZIP archive,212444,NF00458
mov,QuickTime File Format (MOV),207497,NF00393
js,JavaScript,207050,NF00217
sgml,8-bit ASCII Text,203105,
sgml,Standard Generalized Markup Language,203104,
so,Shared Object Library,181718,NF00724
css,Cascading Style Sheets unspecified version,181563,NF00651
pdf,Acrobat PDF 1.2 - Portable Document Format (1.2),174713,
sol,Flash Local Shared Object (LSO),164468,NF00690
jpg,JPEG File Interchange Format (1.01),158493,
,Unidentified,143253,
sql,Structured Query Language,134547,NF00416
proper,Unidentified,133890,
ntf|nitf,National Imagery Transmission Format unspecified version,123912,NF00764
tmp|temp,Temp file,115514,NF00424
tif|tiff|tfx,Tagged Image File Format for Internet Fax (TIFF-FX),111072,NF00422
rtf,Rich Text Format unspecified version,110221,NF00660
swf,Macromedia Flash unspecified version,107385,NF00655
pst,Microsoft Outlook Personal Folders unspecified version,104565,NF00657
e00|ft#|rt#|shp|dlg,Topologically Integrated Geographic and Encoding Referencing Files (TIGERLine),103420,NF00426
dat,Data File,98095,NF00151
m2p|mpg|mpeg,MPEG-2 Program Stream,91029,NF00778
jpg,Exchangeable Image File Format (Compressed) (2.2),89438,
dbf,dBASE Database (III),86897,
shx,ESRI Arc/View Shapefile Index,86514,
shp,ESRI Arc/View ShapeFile,86508,
prj,8-bit ASCII Text,84457,
xml,8-bit ASCII Text,80066,
dct|dic,Custom Dictionary File,75836,NF00159
jsp,Java Server page,75834,
jpg,Exchangeable Image File Format (Compressed) (2.1),71608,
dl_,Compressed Dynamic Link Library (DLL),70054,NF00691
htm,Hypertext Markup Language (4.0),69921,
wmf,Windows Metafile Image,69334,NF00448
cs,C# Code,68984,NF00138
log,Log File,67892,NF00227
wav,Broadcast Wave (BWF) unspecified version,65860,NF00650
exe,Executable file,65849,NF00182
hpp,C++ Header Format file,63542,
ind|indd,Adobe InDesign Document unspecified version,61918,NF00648
mp4,MPEG-4 unspecified version,61155,
doc,Microsoft Word for Windows Document (97-2003),57098,
dwg,AutoCAD Drawing unspecified version,56628,NF00649
psd,Adobe Photoshop,54975,
csv,8-bit ASCII Text,54540,
cat,Windows Catalog File,51660,NF00676
dta,STATA Data file version 118,49165,NF00696
olk14m,Unidentified,49045,
fmt,Foxpro Settings File,48834,
jpeg,Unidentified,47659,
odt,OpenDocument Text (1.1),47535,
emf|emz,Enhanced Metafile unspecified version,47020,NF00768
rpt,Crystal Reports File,46977,NF00150
xls,OLE2 Compound Document Format,46689,
nef,Tagged Image File Format,46526,
mht|mhtml,MHTML: MIME Encapsulation of Aggregate Documents,46480,NF00334
jpg,JPEG File Interchange Format (1.00),43686,
dng,Tagged Image File Format,42451,
plist,Unidentified,41986,
2|10,IBM Voice Type/ViaVoice Scripts Data,40652,NF00717
wma,Windows Media Audio unspecified version,40497,NF00446
vrge08,Unidentified,39909,
class,Java Class (Compiled Object Code),39816,NF00576
lk,Unidentified,39714,
asf,Advanced Systems Format unspecified version,39336,NF00109
cal|ct1|ct2,CALS Compressed Bitmap,39105,NF00139
dng,Digital Negative Format unspecified version,38961,NF00763
gif,Graphics Interchange Format (1989a),38827,
ildoc|doc,Interleaf Document,38250,NF00213
thmx,Microsoft Office Theme (Windows 2007-onwards),38018,NF00839
ttf,TrueType Font,37996,NF00427
wbk,"Microsoft Word Backup File, version 97-onwards",37892,NF00304
wks|123,Lotus 1-2-3 Worksheet 1.0 and 1A,37026,NF00228
ado,Adobe Photoshop Duotone Options,35805,NF00697
one,Microsoft OneNote,35140,NF00664
xlsm,Microsoft Excel Macro-enabled,34136,NF00665
uf2,8-bit ASCII Text,32201,
wcm|wpm,WordPerfect Macro,32070,NF00729
doc,OLE2 Compound Document Format,31938,
inf,Windows Setup Information File,31808,NF00450
