extension,file_count
txt,2534046
raw,143733
xml,109847
md5,93961
TXT,36715
log,33652
csv,10907
html,8939
DOC,5521
img,3104
art,2947
mp3,2202
au,1722
iso,1587
HTML,1407
PDB,1080
ini,1070
htm,952
ASC,894
DAT,812
jpg,803
doc,776
pdf,433
dat,406
php,392
js,351
ISO,334
JPG,236
css,224
vtt,217
mpg,212
gif,207
max,184
dv,181
tif,162
pct,128
BAK,126
zip,123
info,119
MOD,117
lck,114
db,92
sql,89
bak,89
wpd,78
pcx,75
vcf,70
BIN,63
PGM,60
DBT,54
stl,53
TPL,47
BAT,45
json,45
eml,42
CIF,40
java,39
bat,34
pot,34
LOG,33
xls,32
MIF,30
nib,30
xmp,27
CR2,26
WPD,24
LST,23
rtf,22
SCR,22
WP,21
INF,21
bin,21
PRO,18
INI,18
png,17
jp2,17
PRN,17
MID,17
fig,16
0,16
hdr,15
F,15
ttl,15
bmp,14
pde,14
CSV,13
pdb,12
prc,11
ID,11
dbf,11
jtp,11
sd2,10
gen,10
dic,10
SD2,10
MP3,10
mp4,9
xpt,8
cab,8
prx,8
QEL,8
SDF,8
mov,8
pgm,8
mbox,7
DB,7
IND,7
sit,6
SAM,6
LIC,6
dbx,6
RAW,6
STP,6
AC$,5
SYS,5
asc,5
PCX,5
TIF,5
XY,5
